match_id,player_id,player_external_id,player_name,team_id,team_name,gender,batting_runs,balls_faced,fours,sixes,batting_strike_rate,not_out,batted,balls_bowled,runs_conceded,wickets,bowling_economy,maidens
1000895,2560,fd2bf2a0,Umar Akmal,2,Pakistan,male,46,40,7,0,115.0,False,True,0,0,0,0.0,0
1000895,1876,2f26ac1a,Mohammad Rizwan,2,Pakistan,male,6,6,0,0,100.0,False,True,0,0,0,0.0,0
1001371,1124,dcce6f09,DA Warner,1,Australia,male,24,29,4,0,82.76,False,True,0,0,0,0.0,0
1001371,1818,e84ac20c,MJ Henry,3,New Zealand,male,27,15,4,1,180.0,False,True,60,74,2,7.4,0
1001371,809,b8d490fd,AJ Finch,1,Australia,male,0,1,0,0,0.0,False,True,0,0,0,0.0,0
1001371,2419,30a45b23,SPD Smith,1,Australia,male,164,153,14,4,107.19,False,True,0,0,0,0.0,0
1001371,2488,a818c1be,TA Boult,3,New Zealand,male,1,1,0,0,100.0,True,True,60,51,2,5.1,1
1001371,1702,2f9d0389,LH Ferguson,3,New Zealand,male,0,3,0,0,0.0,False,True,54,73,1,8.11,0
1001371,998,94d7f855,C de Grandhomme,3,New Zealand,male,6,8,1,0,75.0,False,True,36,27,0,4.5,0
1001371,1287,5056011d,GJ Bailey,1,Australia,male,17,25,0,1,68.0,False,True,0,0,0,0.0,0
1001371,1829,e4a0deae,MJ Santner,3,New Zealand,male,0,7,0,0,0.0,False,True,54,40,0,4.44,0
1001371,1487,9219eff0,JDS Neesham,3,New Zealand,male,34,36,5,0,94.44,False,True,36,58,2,9.67,0
1001371,1901,3d8feaf8,MR Marsh,1,Australia,male,1,3,0,0,33.33,False,True,50,38,2,4.56,1
1001371,2536,12b610c2,TM Head,1,Australia,male,52,59,5,0,88.14,False,True,0,0,0,0.0,0
1001371,1913,afa7e784,MS Wade,1,Australia,male,38,22,1,3,172.73,False,True,0,0,0,0.0,0
1001371,2076,ded9240e,PJ Cummins,1,Australia,male,0,1,0,0,0.0,True,True,54,62,2,6.89,0
1001371,1764,3fb19989,MA Starc,1,Australia,male,11,5,2,0,220.0,False,True,42,37,1,5.29,1
1001371,731,14f96089,A Zampa,1,Australia,male,2,2,0,0,100.0,True,True,60,66,2,6.6,0
1001371,1816,2be41edb,MJ Guptill,3,New Zealand,male,114,102,10,6,111.76,False,True,0,0,0,0.0,0
1001371,2555,e824e6ee,TWM Latham,3,New Zealand,male,2,6,0,0,33.33,False,True,0,0,0,0.0,0
1001371,1552,03806cf8,JR Hazlewood,1,Australia,male,0,0,0,0,0.0,False,False,60,49,3,4.9,0
1001371,1668,d027ba9f,KS Williamson,3,New Zealand,male,9,16,2,0,56.25,False,True,0,0,0,0.0,0
1001371,970,928670cc,BJ Watling,3,New Zealand,male,6,13,0,0,46.15,False,True,0,0,0,0.0,0
