player_id,player_external_id,player_name,gender,role,batting_style,bowling_style,team_name
1246,a7c226e1,FH Edwards,male,ALL_ROUNDER,,,West Indies
1247,c042b412,FJ Klaassen,male,ALL_ROUNDER,,,Netherlands
1248,17fbaab5,FL Reifer,male,BATTER,,,West Indies
1249,971c3f6d,FRJ Coleman,male,BATTER,,,Scotland
1250,c15e2193,FY Fazal,male,BATTER,,,India
1251,790ac2b0,G Bajwa,male,BOWLER,,,Canada
1252,85afed77,G Chapple,male,ALL_ROUNDER,,,England
1253,3204c99f,G Coetzee,male,ALL_ROUNDER,,,South Africa
1254,bb345e0b,G Gambhir,male,ALL_ROUNDER,,,India
1255,59f509ed,G Goudie,male,BOWLER,,,Scotland
1256,19d0a172,G Hoey,male,ALL_ROUNDER,,,Ireland
1257,ad48eb56,G Kirsten,male,BATTER,,,South Africa
1258,b2e1d224,G Malla,male,ALL_ROUNDER,,,Nepal
1259,97bdec3d,G Motie,male,ALL_ROUNDER,,,West Indies
1260,c1f6c27e,G Onions,male,ALL_ROUNDER,,,England
1261,e93b6c95,G Singh,male,ALL_ROUNDER,,,United States of America
1262,5af592d2,G Snyman,male,ALL_ROUNDER,,,Namibia
1263,c3564c2d,G Toka,male,ALL_ROUNDER,,,Papua New Guinea
1264,86421172,GA Lamb,male,ALL_ROUNDER,,,Zimbabwe
1265,f58839ad,GA Manou,male,BATTER,,,Australia
1266,46050f42,GA Rogers,male,ALL_ROUNDER,,,Scotland
1267,da785bf8,GB Brent,male,ALL_ROUNDER,,,Zimbabwe
1268,f708a0bc,GB Hogg,male,ALL_ROUNDER,,,Australia
1269,18356eb3,GB Murgatroyd,male,BATTER,,,Namibia
1270,72861603,GC Smith,male,ALL_ROUNDER,,,South Africa
1271,7d21eb9b,GC Tonge,male,ALL_ROUNDER,,,West Indies
1272,05de1a5a,GC Wilson,male,BATTER,,,Ireland
1273,5b8fffb4,GD Drummond,male,ALL_ROUNDER,,,Scotland
1274,c03449e0,GD Elliott,male,ALL_ROUNDER,,,New Zealand
1275,ee7d0c82,GD McGrath,male,ALL_ROUNDER,,,Australia
1276,9a46c4e5,GD Phillips,male,ALL_ROUNDER,,,New Zealand
1277,b7646e8c,GEF Barnett,male,BATTER,,,Canada
1278,e5437608,GF Linde,male,ALL_ROUNDER,,,South Africa
1279,f390904d,GH Bodi,male,ALL_ROUNDER,,,South Africa
1280,99cddc5e,GH Dockrell,male,ALL_ROUNDER,,,Ireland
1281,7bbeac6d,GH O'Brien,male,ALL_ROUNDER,,,Bermuda
1282,51a36d3e,GH Worker,male,ALL_ROUNDER,,,New Zealand
1283,28b61a48,Ghazi Ghori,male,BATTER,,,Pakistan
1284,ced0ec25,Ghulam Shabber,male,BATTER,,,United Arab Emirates
1285,25550d06,GI Hume,male,ALL_ROUNDER,,,Ireland
1286,a8bbd62e,GI Maiden,male,BATTER,,,Scotland
1287,5056011d,GJ Bailey,male,BATTER,,,Australia
1288,5ac8f17b,GJ Batty,male,ALL_ROUNDER,,,England
1289,33b3d2df,GJ Delany,male,ALL_ROUNDER,,,Ireland
1290,4d3097d8,GJ Hopkins,male,BATTER,,,New Zealand
1291,b681e71e,GJ Maxwell,male,ALL_ROUNDER,,,Australia
1292,6232e1ed,GJ McCarter,male,ALL_ROUNDER,,,Ireland
1293,b863eae9,GJ Rennie,male,ALL_ROUNDER,,,Zimbabwe
1294,6a52f5d3,GJ Whittall,male,ALL_ROUNDER,,,Zimbabwe
1295,2957a836,GJP Kruger,male,ALL_ROUNDER,,,South Africa
1296,95a06106,GLS Scrimshaw,male,BOWLER,,,England
1297,36fc8d18,GM Ewing,male,ALL_ROUNDER,,,Zimbabwe
1298,8187519b,GM Hamilton,male,BATTER,,,Scotland
1299,5dc19220,GM Strydom,male,ALL_ROUNDER,,,Zimbabwe
1300,2e929b99,GO Jones,male,BATTER,,,England
