match_id,team_id,team_name,gender,runs,wickets,total_balls,fours,sixes,extras,run_rate
1115779,10,England,male,229,3,196,21,8,7,7.01
1115795,13,West Indies,male,248,9,300,19,6,24,4.96
1115795,3,New Zealand,male,249,5,276,27,0,7,5.41
1115796,3,New Zealand,male,325,6,300,20,9,17,6.5
1115796,13,West Indies,male,121,10,168,14,0,4,4.32
1115797,3,New Zealand,male,131,4,138,17,0,4,5.7
1115797,13,West Indies,male,99,9,138,6,1,10,4.3
1115802,3,New Zealand,male,315,7,300,25,5,10,6.3
1115802,2,Pakistan,male,166,6,181,16,5,11,5.5
1115803,2,Pakistan,male,246,9,300,21,7,14,4.92
1115803,3,New Zealand,male,151,2,143,11,5,1,6.34
1115804,3,New Zealand,male,257,10,300,22,2,8,5.14
1115804,2,Pakistan,male,74,10,164,7,1,6,2.71
1115805,2,Pakistan,male,262,8,300,20,10,9,5.24
1115805,3,New Zealand,male,263,5,275,23,7,9,5.74
1115806,3,New Zealand,male,271,7,300,23,1,9,5.42
1115806,2,Pakistan,male,256,10,294,23,4,23,5.22
1119496,7,India,male,281,7,300,22,7,14,5.62
1119496,1,Australia,male,137,9,126,8,5,6,6.52
1119497,7,India,male,252,10,300,24,1,15,5.04
1119497,1,Australia,male,202,10,259,19,5,16,4.68
1119498,1,Australia,male,293,6,300,23,7,16,5.86
1119498,7,India,male,294,5,287,28,8,6,6.15
1119499,1,Australia,male,334,5,300,27,10,23,6.68
1119499,7,India,male,313,8,300,23,12,7,6.26
1119500,1,Australia,male,242,9,300,20,2,6,4.84
1119500,7,India,male,243,3,257,23,5,2,5.67
1119537,1,Australia,male,214,10,282,17,4,4,4.55
1119537,10,England,male,218,7,264,32,1,2,4.95
1119538,10,England,male,342,8,300,36,5,10,6.84
1119538,1,Australia,male,304,10,283,28,4,20,6.45
1119539,10,England,male,481,6,300,41,21,19,9.62
1119539,1,Australia,male,239,10,222,15,7,16,6.46
1119540,1,Australia,male,310,8,300,24,7,7,6.2
1119540,10,England,male,314,4,268,38,4,4,7.03
1119541,1,Australia,male,205,10,208,21,3,10,5.91
1119541,10,England,male,208,9,291,17,2,12,4.29
1119546,10,England,male,268,10,299,24,4,10,5.38
1119546,7,India,male,269,2,241,30,4,8,6.7
1119547,10,England,male,322,7,300,27,5,6,6.44
1119547,7,India,male,236,10,300,16,0,15,4.72
1119548,7,India,male,256,8,300,25,2,11,5.12
1119548,10,England,male,260,2,267,31,1,15,5.84
1120090,7,India,male,280,8,300,20,7,14,5.6
1120090,3,New Zealand,male,284,4,294,25,3,16,5.8
1120091,3,New Zealand,male,230,9,300,17,4,8,4.6
1120091,7,India,male,232,4,276,18,4,16,5.04
1120092,7,India,male,337,6,300,35,4,8,6.74
1120092,3,New Zealand,male,331,7,300,33,5,20,6.62
1120286,2,Pakistan,male,292,6,300,21,4,11,5.84
1120286,11,Sri Lanka,male,209,8,300,17,1,10,4.18
1120287,2,Pakistan,male,219,9,300,10,2,6,4.38
1120287,11,Sri Lanka,male,187,10,288,16,0,11,3.9
1120288,11,Sri Lanka,male,208,10,290,16,0,13,4.3
1120288,2,Pakistan,male,209,3,255,12,3,16,4.92
1120289,11,Sri Lanka,male,173,10,262,13,1,13,3.96
1120289,2,Pakistan,male,177,3,234,9,3,11,4.54
1120290,11,Sri Lanka,male,103,10,158,10,2,9,3.91
1120290,2,Pakistan,male,105,1,122,11,1,7,5.16
1122279,9,South Africa,male,269,8,300,23,4,6,5.38
1122279,7,India,male,270,4,273,24,3,17,5.93
1122280,9,South Africa,male,118,10,194,12,1,1,3.65
1122280,7,India,male,119,1,123,15,2,7,5.8
1122281,7,India,male,303,6,300,25,3,15,6.06
1122281,9,South Africa,male,179,10,240,13,2,4,4.47
1122282,7,India,male,289,7,300,25,4,18,5.78
1122282,9,South Africa,male,207,5,153,18,8,11,8.12
1122283,7,India,male,274,7,300,26,4,17,5.48
1122283,9,South Africa,male,201,10,254,14,4,8,4.75
1122284,9,South Africa,male,204,10,281,17,7,3,4.36
1122284,7,India,male,206,2,193,27,2,10,6.4
1122726,7,India,male,112,10,230,17,2,5,2.92
1122726,11,Sri Lanka,male,114,3,124,20,0,13,5.52
1122727,7,India,male,392,4,300,32,15,13,7.84
1122727,11,Sri Lanka,male,251,8,300,24,3,11,5.02
1122728,11,Sri Lanka,male,215,10,269,24,3,8,4.8
1122728,7,India,male,219,2,193,24,4,21,6.81
1122904,19,New Zealand,female,240,9,300,20,1,11,4.8
1122904,20,Pakistan,female,232,10,291,18,1,16,4.78
1122905,20,Pakistan,female,147,10,295,10,1,8,2.99
1122905,19,New Zealand,female,148,3,144,18,0,10,6.17
1122906,19,New Zealand,female,155,10,262,12,0,17,3.55
1122906,20,Pakistan,female,156,5,293,11,0,16,3.19
1123204,23,India,female,302,3,300,26,3,21,6.04
1123204,16,South Africa,female,124,10,185,14,3,2,4.02
1123205,23,India,female,240,10,300,29,0,13,4.8
1123205,16,South Africa,female,241,3,296,23,0,11,4.89
1124089,5,Hong Kong,male,230,8,300,15,2,17,4.6
1124089,12,Papua New Guinea,male,207,10,282,20,1,12,4.4
1126717,21,England,female,189,9,300,16,0,25,3.78
1126717,16,South Africa,female,193,3,273,26,3,5,4.24
1126718,21,England,female,331,6,300,36,2,21,6.62
1126718,16,South Africa,female,262,9,300,20,10,10,5.24
1126719,16,South Africa,female,228,10,299,18,3,6,4.58
1126719,21,England,female,232,3,264,26,0,15,5.27
1126727,21,England,female,290,5,300,29,0,22,5.8
1126727,19,New Zealand,female,148,10,213,14,0,17,4.17
1126728,21,England,female,241,10,288,20,0,15,5.02
1126728,19,New Zealand,female,118,10,228,11,0,9,3.11
1126729,21,England,female,219,10,286,17,0,8,4.59
1126729,19,New Zealand,female,224,6,268,22,2,19,5.01
1130737,6,Zimbabwe,male,170,10,294,9,2,16,3.47
1130737,8,Bangladesh,male,171,2,171,18,2,17,6.0
1130738,6,Zimbabwe,male,290,6,300,29,4,14,5.8
1130738,11,Sri Lanka,male,278,10,289,19,8,18,5.77
1130739,8,Bangladesh,male,320,7,300,28,6,12,6.4
1130739,11,Sri Lanka,male,157,10,194,12,3,8,4.86
1130740,6,Zimbabwe,male,198,10,264,18,0,23,4.5
1130740,11,Sri Lanka,male,202,5,269,14,4,7,4.51
1130741,8,Bangladesh,male,216,9,300,17,2,15,4.32
1130741,6,Zimbabwe,male,125,10,219,13,1,8,3.42
1130742,8,Bangladesh,male,82,10,144,7,0,14,3.42
1130742,11,Sri Lanka,male,83,0,71,4,5,9,7.01
1130743,11,Sri Lanka,male,221,10,300,14,5,9,4.42
1130743,8,Bangladesh,male,142,9,247,7,4,11,3.45
1131232,23,India,female,200,10,300,22,3,8,4.0
1131232,17,Australia,female,202,2,193,24,1,6,6.28
1131233,17,Australia,female,287,9,300,36,2,11,5.74
1131233,23,India,female,227,10,296,25,2,9,4.6
1131274,22,United Arab Emirates,male,222,9,300,25,2,19,4.44
1131274,14,Ireland,male,226,6,296,21,1,16,4.58
1131275,14,Ireland,male,301,5,300,30,4,12,6.02
1131275,22,United Arab Emirates,male,234,10,292,23,5,15,4.81
1131276,4,Scotland,male,219,10,296,23,0,11,4.44
1131276,14,Ireland,male,223,4,209,26,3,19,6.4
1131277,14,Ireland,male,331,6,300,25,11,20,6.62
1131277,4,Scotland,male,307,9,300,27,5,18,6.14
1131278,4,Scotland,male,249,8,300,25,4,7,4.98
1131278,22,United Arab Emirates,male,218,10,279,23,2,19,4.69
1131279,4,Scotland,male,299,9,300,33,4,12,5.98
1131279,22,United Arab Emirates,male,300,6,295,25,5,11,6.1
1131777,23,India,female,113,10,224,10,1,10,3.03
1131777,21,England,female,117,2,174,11,2,5,4.03
1131778,21,England,female,201,9,300,15,2,4,4.02
1131778,23,India,female,202,2,272,25,1,12,4.46
1133002,12,Papua New Guinea,male,235,10,300,11,7,10,4.7
1133002,14,Ireland,male,237,6,295,22,0,6,4.82
1133003,13,West Indies,male,357,4,300,26,19,14,7.14
1133003,22,United Arab Emirates,male,297,6,300,21,9,22,5.94
1133005,5,Hong Kong,male,91,10,230,13,1,4,2.37
1133005,4,Scotland,male,92,6,141,13,1,4,3.91
1133007,12,Papua New Guinea,male,200,10,256,15,5,17,4.69
1133007,13,West Indies,male,201,4,258,16,6,13,4.67
1133010,13,West Indies,male,257,8,300,19,10,13,5.14
1133010,14,Ireland,male,205,10,278,18,2,4,4.42
1133012,6,Zimbabwe,male,263,9,300,19,5,10,5.26
1133012,5,Hong Kong,male,174,10,281,11,3,8,3.72
1133015,14,Ireland,male,313,6,264,33,9,17,7.11
1133015,22,United Arab Emirates,male,91,10,177,3,3,11,3.08
1133017,6,Zimbabwe,male,210,10,280,19,3,7,4.5
1133017,4,Scotland,male,210,10,295,16,3,18,4.27
1133019,4,Scotland,male,322,6,300,24,9,10,6.44
1133019,22,United Arab Emirates,male,249,10,286,24,5,21,5.22
1133022,6,Zimbabwe,male,211,9,300,13,8,12,4.22
1133022,14,Ireland,male,104,10,206,9,0,8,3.03
1133023,12,Papua New Guinea,male,200,10,290,17,3,5,4.14
1133023,5,Hong Kong,male,142,10,212,16,3,8,4.02
1133025,14,Ireland,male,271,9,300,25,3,13,5.42
1133025,4,Scotland,male,246,10,286,21,6,7,5.16
1133026,6,Zimbabwe,male,289,10,300,33,4,10,5.78
1133026,13,West Indies,male,290,6,294,19,11,5,5.92
1133028,13,West Indies,male,198,10,292,12,3,16,4.07
1133028,4,Scotland,male,125,5,212,13,0,5,3.54
1133029,22,United Arab Emirates,male,235,7,287,21,4,18,4.91
1133029,6,Zimbabwe,male,226,7,240,13,2,17,5.65
1134540,22,United Arab Emirates,male,221,10,298,11,5,10,4.45
1134540,12,Papua New Guinea,male,113,10,154,7,2,5,4.4
1138191,19,New Zealand,female,278,9,300,20,3,9,5.56
1138191,25,West Indies,female,277,9,300,28,2,9,5.54
1138192,25,West Indies,female,194,10,289,16,1,3,4.03
1138192,19,New Zealand,female,195,2,184,20,0,7,6.36
1138193,19,New Zealand,female,310,5,300,22,0,22,6.2
1138193,25,West Indies,female,105,10,209,13,0,3,3.01
