fold,date,target,raw_probability
1,2015-01-20,1,0.4589974486591256
1,2015-01-20,1,0.4203210905373781
1,2015-01-21,1,0.7311567979148129
1,2015-01-23,1,0.5035301156821231
1,2015-01-23,1,0.7833606907981715
1,2015-01-25,0,0.7548943370336594
1,2015-01-25,1,0.5543097793117128
1,2015-01-28,1,0.7106164348797561
1,2015-01-29,0,0.5578433218245559
1,2015-01-30,1,0.41035101095127846
1,2015-01-31,1,0.6218474453317866
1,2015-02-01,1,0.7792130772963095
1,2015-02-03,1,0.5853029415241245
1,2015-02-14,1,0.5685933618405807
1,2015-02-14,1,0.7862244649761283
1,2015-02-15,1,0.8290375146384741
1,2015-02-15,1,0.7585491361090406
1,2015-02-16,1,0.3527702563926845
1,2015-02-17,1,0.8314057095997007
1,2015-02-19,0,0.39014880051324785
1,2015-02-20,1,0.6471691207791715
1,2015-02-21,0,0.6672960750654943
1,2015-02-22,1,0.6145208549890135
1,2015-02-23,1,0.8405294715630174
1,2015-02-24,1,0.7150778972602464
1,2015-02-25,1,0.6313538939039844
1,2015-02-26,0,0.38518047508003184
1,2015-02-27,1,0.7138020849639543
1,2015-02-28,1,0.3432767077918798
1,2015-02-28,1,0.9610317324468547
1,2015-03-01,0,0.49114276138720825
1,2015-03-01,1,0.764289326638443
1,2015-03-03,0,0.2602812538358656
1,2015-03-04,1,0.9119916402351623
1,2015-03-05,1,0.7405747713918726
1,2015-03-06,1,0.8058325352924891
1,2015-03-07,1,0.4648242611535577
1,2015-03-07,1,0.4857944216877512
1,2015-03-08,1,0.6869333835410694
1,2015-03-09,1,0.4491196065910481
1,2015-03-10,1,0.860351995031693
1,2015-03-11,0,0.20939989972427564
1,2015-03-12,1,0.9360459802929623
1,2015-03-13,1,0.6654462695628033
1,2015-03-14,1,0.8611317960153154
1,2015-03-14,1,0.9401772125677904
1,2015-03-15,0,0.2585755496119933
1,2015-03-15,0,0.31730311956058865
1,2015-03-18,1,0.5411182764690424
1,2015-03-19,0,0.2661383506370774
1,2015-03-20,1,0.7390861188676879
1,2015-03-21,1,0.6853565849005351
1,2015-03-24,1,0.4878336074108547
1,2015-03-26,1,0.6381883022670626
1,2015-03-29,1,0.7257718623773661
1,2015-04-17,1,0.3190091384342676
1,2015-04-19,1,0.3371667924663833
1,2015-04-22,1,0.36653038895416823
1,2015-05-26,1,0.7807960372407832
1,2015-05-29,1,0.821531867949681
1,2015-06-09,1,0.5476812595793745
1,2015-06-12,0,0.5429844387509497
1,2015-06-14,0,0.5274494429540199
1,2015-06-17,1,0.5766705224571613
1,2015-06-18,1,0.24341554418143832
1,2015-06-20,1,0.5774595200146514
1,2015-06-21,1,0.27220934877516023
1,2015-06-24,0,0.2956217061889677
1,2015-07-10,0,0.3386224514833014
1,2015-07-10,0,0.20878921514818902
1,2015-07-11,0,0.6446078992861253
1,2015-07-12,1,0.3056531339953462
1,2015-07-12,0,0.2067732617182055
1,2015-07-14,0,0.1996231914681842
1,2015-07-15,1,0.3761365827346461
1,2015-07-15,1,0.6101689126138157
1,2015-07-19,0,0.5929184146831924
1,2015-07-22,0,0.5887854900077971
1,2015-07-26,1,0.5768288057720046
1,2015-08-02,1,0.28681750869066613
1,2015-08-04,0,0.3099627414096745
1,2015-08-07,0,0.3055714448312787
1,2015-08-19,1,0.6569901816384823
1,2015-08-23,0,0.6899413858976083
1,2015-08-26,1,0.6501431052714196
1,2015-08-27,0,0.14789882819308992
1,2015-09-03,0,0.3975196961551624
1,2015-09-05,0,0.38281908829678957
1,2015-09-08,1,0.4212667676538044
1,2015-09-11,1,0.4378605697883591
1,2015-09-13,0,0.4565444669855855
1,2015-10-01,0,0.2592655237990174
1,2015-10-03,1,0.25355329702964696
1,2015-10-05,0,0.26557430202869936
1,2015-10-09,1,0.5570558760924038
1,2015-10-11,0,0.6964961256303244
1,2015-10-11,1,0.6532100059970019
1,2015-10-13,0,0.6805864781831796
1,2015-10-14,1,0.6753442012677541
1,2015-10-18,0,0.6554146338029112
1,2015-10-22,1,0.670840520766414
1,2015-10-25,0,0.6935906400845838
1,2015-11-01,1,0.7083774833510854
1,2015-11-04,1,0.7524952182880041
